visit_id,member_id,cinema_id,film_id,visit_date
133,1677,16,28,2024-02-15
134,843,11,13,2024-03-24
135,1057,16,43,2025-02-19
136,1137,2,28,2023-08-13
137,440,15,12,2024-01-07
138,540,16,8,2025-05-05
139,359,17,28,2023-09-05
140,750,18,23,2023-11-14
141,1551,19,36,2024-12-13
142,106,8,10,2023-11-13
143,489,12,11,2023-08-16
144,1731,14,23,2024-08-14
145,1898,16,17,2023-12-12
146,379,2,14,2024-10-08
147,1737,4,46,2024-08-04
148,1056,11,12,2024-05-19
149,1119,18,24,2024-05-24
150,762,19,37,2023-09-14
151,74,9,21,2024-12-25
152,1362,19,25,2024-11-06
153,1795,6,5,2025-05-03
154,1184,14,16,2024-10-19
155,1274,17,4,2024-03-13
156,1379,17,29,2025-02-26
157,743,15,17,2025-01-27
158,969,15,4,2023-10-26
159,632,17,1,2023-07-16
160,1030,19,21,2024-10-07
161,259,7,23,2024-08-16
162,15,8,3,2025-01-01
163,1115,19,1,2024-03-22
164,1079,1,37,2025-02-19
165,471,6,43,2023-11-25
166,1797,14,21,2023-09-03
167,736,14,38,2025-05-22
168,1719,15,39,2023-09-02
169,1027,11,50,2024-07-16
170,534,17,20,2025-02-15
171,531,12,33,2024-11-24
172,337,20,25,2025-01-27
173,1666,8,25,2023-10-25
174,196,14,48,2023-12-05
175,1563,16,35,2023-10-25
176,763,7,27,2025-02-09
177,1441,9,32,2025-05-27
178,442,18,26,2024-01-23
179,682,8,8,2024-04-17
180,1964,18,26,2023-12-29
181,927,17,30,2023-10-07
182,846,18,49,2023-11-27
183,825,2,39,2024-10-01
184,1053,9,42,2025-02-03
185,1173,2,32,2023-11-26
186,791,7,39,2023-07-26
187,507,12,9,2025-05-07
188,1815,6,48,2024-04-14
189,1993,15,17,2025-01-19
190,14,13,33,2024-12-29
191,650,13,15,2023-09-13
192,1899,1,13,2025-07-07
193,1309,14,6,2023-09-28
194,807,17,32,2025-03-15
195,1929,14,44,2023-12-20
196,1381,18,17,2024-09-22
197,868,15,35,2023-12-09
198,256,11,41,2024-12-09
199,1400,19,17,2024-01-20
200,495,11,36,2023-12-13
201,772,18,41,2024-05-24
202,1813,1,18,2024-11-15
203,972,6,27,2024-11-24
204,229,8,31,2024-04-11
205,341,8,16,2024-10-08
206,503,10,8,2024-03-11
207,1989,11,50,2023-12-18
208,1114,15,14,2023-07-20
209,1559,20,38,2025-03-02
210,1637,4,12,2023-09-11
211,413,10,29,2023-10-10
212,729,16,48,2023-11-11
213,1738,10,39,2024-05-01
214,857,3,26,2023-12-31
215,1698,8,4,2025-03-02
216,1800,19,36,2024-08-03
217,1030,14,42,2023-10-21
218,1424,18,8,2024-12-24
219,1507,18,17,2024-06-15
220,753,18,11,2024-09-15
221,1832,6,10,2024-08-17
222,1970,15,25,2024-08-15
223,1916,12,24,2025-03-24
224,275,13,10,2024-09-17
225,1783,9,17,2024-09-03
226,1817,20,27,2024-02-29
227,1627,11,2,2024-10-04
228,337,3,31,2024-01-02
229,1336,7,31,2024-08-10
230,1620,6,43,2023-11-29
231,77,2,49,2025-03-24
232,1814,16,26,2023-07-08
233,952,5,19,2023-10-18
234,1616,2,10,2024-06-29
235,1612,14,18,2025-02-01
236,723,2,16,2025-03-14
237,1381,1,20,2025-03-10
238,892,6,13,2024-09-11
239,50,3,23,2024-02-19
240,879,9,6,2025-02-02
241,955,2,13,2025-01-03
242,1855,4,21,2025-05-02
243,775,5,12,2024-06-13
244,1046,6,21,2023-12-24
245,1387,19,3,2025-03-18
246,1801,3,37,2024-04-18
247,1951,5,29,2023-12-08
248,1430,2,15,2023-07-12
249,1109,9,9,2024-02-26
250,1383,9,29,2025-06-05
251,346,20,31,2024-11-16
252,172,12,25,2024-02-10
253,1573,9,38,2025-02-02
254,844,8,44,2024-12-10
255,429,8,14,2025-02-14
256,1611,8,3,2025-02-19
257,945,8,16,2023-10-25
258,1430,5,12,2023-09-09
259,857,8,13,2023-10-15
260,720,7,43,2023-12-13
261,1875,13,3,2024-07-09
262,1294,16,42,2025-02-24
263,1278,16,2,2025-03-12
264,1391,8,20,2025-04-30
265,1548,3,38,2024-10-30
266,1780,8,13,2023-11-09
267,288,6,43,2024-06-18
268,1681,5,18,2024-09-02
269,129,8,15,2023-08-29
270,490,5,30,2024-07-16
271,1812,2,33,2025-04-22
272,1825,13,19,2025-04-08
273,1172,3,41,2023-08-30
274,1901,9,28,2024-01-23
275,280,5,32,2023-09-12
276,1915,11,43,2023-11-18
277,532,11,13,2023-09-14
278,1258,1,25,2024-10-11
279,1543,9,38,2024-06-04
280,545,10,17,2023-10-10
281,470,18,32,2023-11-18
282,363,15,29,2025-02-17
283,1527,17,39,2023-07-24
284,1976,2,46,2025-01-20
285,1980,5,43,2024-06-10
286,1608,6,25,2024-04-28
287,1623,18,31,2024-09-06
288,1357,6,9,2023-11-09
289,398,13,12,2025-03-26
290,1080,14,35,2025-04-04
291,184,12,16,2025-04-13
292,109,14,30,2023-11-10
293,238,19,21,2024-05-01
294,58,9,22,2024-09-25
295,145,2,29,2025-04-10
296,1417,10,42,2024-12-12
297,574,7,16,2023-08-10
298,794,14,10,2024-06-03
299,728,15,41,2024-06-08
300,1034,2,25,2025-02-26
301,1763,16,12,2023-12-22
302,1148,5,13,2024-01-01
303,769,8,15,2024-04-19
304,696,4,43,2025-06-14
305,1880,4,27,2025-05-24
306,3,7,22,2024-02-04
307,264,14,21,2024-12-18
308,928,6,35,2023-11-30
309,324,14,44,2024-06-19
310,370,4,27,2025-02-06
311,41,5,46,2023-08-17
312,1914,9,39,2025-03-19
313,1694,18,46,2024-12-20
314,676,3,21,2024-06-11
315,460,7,16,2025-03-24
316,580,2,27,2025-03-01
317,240,13,21,2024-09-06
318,1033,7,3,2023-11-18
319,127,12,35,2025-07-07
320,297,13,4,2024-02-17
321,56,9,35,2024-05-04
322,377,4,17,2024-08-04
323,1913,13,35,2025-03-01
324,840,18,15,2024-09-02
325,887,6,12,2024-07-23
326,383,2,49,2024-11-03
327,1881,13,10,2023-11-06
328,337,19,44,2024-11-30
329,1000,10,11,2025-05-30
330,653,9,30,2025-05-31
331,664,10,22,2023-08-05
332,316,7,1,2023-09-29
333,1528,3,13,2024-06-13
334,240,12,22,2024-08-04
335,1072,8,13,2025-03-07
336,249,11,26,2023-09-16
337,1655,14,6,2025-03-02
338,278,3,5,2024-06-07
339,1196,11,28,2024-03-20
340,1532,19,25,2025-03-29
341,1258,20,31,2025-05-07
342,894,19,37,2023-07-20
343,1781,17,21,2024-03-08
344,1096,6,33,2025-02-23
345,1715,20,26,2025-06-03
346,666,15,15,2024-04-10
347,1152,4,46,2025-03-21
348,223,2,31,2024-10-28
349,647,16,17,2024-10-02
350,1822,9,39,2024-04-27
351,1260,3,12,2024-05-16
352,617,5,21,2024-11-29
353,580,14,50,2024-10-12
354,1837,16,14,2024-03-21
355,924,11,16,2024-05-13
356,424,14,36,2023-09-12
357,299,15,32,2023-11-02
358,980,19,19,2024-11-07
359,467,1,28,2023-08-07
360,1800,5,16,2024-08-13
361,134,5,19,2023-12-29
362,20,19,20,2023-12-29
363,848,19,24,2024-04-22
364,810,7,7,2024-07-31
365,665,8,23,2024-05-01
366,1436,5,48,2024-02-13
367,243,10,13,2024-10-29
368,999,8,35,2023-12-29
369,1287,20,29,2025-01-18
370,1087,3,6,2024-03-23
371,397,17,6,2024-07-10
372,418,12,26,2025-01-24
373,1910,14,28,2024-04-29
374,1946,16,13,2024-06-25
375,1686,15,29,2024-08-12
376,1087,15,48,2024-04-10
377,1079,20,33,2023-07-22
378,1063,13,1,2024-12-07
379,1225,13,39,2024-03-03
380,685,15,3,2023-12-03
381,170,17,37,2025-02-07
382,1111,8,22,2024-11-03
383,1574,14,2,2024-05-15
384,255,9,23,2024-10-08
385,1107,7,17,2024-01-15
386,1021,6,6,2024-02-07
387,1102,9,10,2024-05-31
388,1690,12,28,2024-11-03
389,435,12,24,2023-10-05
390,1096,2,38,2025-05-23
391,1432,9,35,2024-09-28
392,225,18,33,2024-03-08
393,62,20,11,2023-07-10
394,1948,3,4,2025-06-30
395,1332,9,4,2024-08-26
396,533,1,34,2023-07-20
397,44,8,12,2023-08-17
398,1724,12,44,2023-12-06
399,1349,20,22,2023-12-12
400,1817,8,48,2024-10-30
401,657,19,18,2024-10-07
402,217,19,1,2024-08-26
403,1272,14,25,2024-03-08
404,531,14,21,2023-11-30
405,240,4,50,2024-02-27
406,1575,9,35,2025-06-26
407,663,20,9,2025-05-08
408,1683,14,26,2023-10-06
409,93,19,6,2024-06-15
410,1809,15,20,2025-04-30
411,644,4,3,2023-09-18
412,1797,2,16,2024-04-17
413,1886,17,40,2024-03-03
414,1289,16,46,2024-04-23
415,1850,10,5,2023-11-22
416,925,12,32,2024-05-04
417,149,12,9,2024-10-24
418,678,3,40,2024-05-23
419,536,2,48,2023-10-31
420,275,7,31,2025-02-18
421,280,15,21,2024-08-18
422,634,4,7,2024-05-18
423,1853,2,47,2024-12-22
424,1632,16,25,2024-01-30
425,1697,5,1,2025-03-12
426,1487,12,15,2023-10-07
427,1132,16,3,2024-10-19
428,479,15,12,2023-08-24
429,1829,7,46,2025-03-06
430,1746,4,17,2025-02-10
431,1901,4,14,2023-07-29
432,1926,17,36,2025-05-04
433,855,16,30,2024-11-25
434,989,15,6,2024-07-16
435,128,6,34,2023-08-05
436,161,20,19,2024-05-01
437,924,16,10,2023-12-03
438,138,12,28,2024-11-09
439,1814,5,15,2025-05-20
440,801,18,42,2024-03-05
441,1078,11,11,2024-01-19
442,1621,13,20,2023-08-25
443,190,15,36,2023-11-24
444,1501,10,10,2024-01-17
445,1732,14,37,2023-09-17
446,800,5,24,2024-09-24
447,1991,4,3,2023-12-10
448,1858,12,18,2025-02-08
449,1635,16,8,2023-12-04
450,1321,3,22,2025-01-17
451,801,14,48,2024-02-11
452,845,10,18,2023-09-29
453,861,9,44,2023-09-01
454,876,10,34,2025-06-28
455,1979,20,4,2024-08-03
456,1236,19,22,2023-09-21
457,1944,7,37,2023-10-20
458,177,16,45,2024-11-01
459,481,16,9,2024-08-19
460,672,12,43,2024-12-23
461,314,2,40,2024-01-30
462,1509,10,15,2024-06-17
463,1489,12,34,2024-06-07
464,1961,13,33,2024-09-22
465,1553,3,6,2023-12-01
466,1799,3,28,2024-08-25
467,1117,4,42,2023-12-18
468,209,4,4,2024-12-17
469,1960,11,20,2023-08-02
470,1475,10,7,2023-08-29
471,1040,6,43,2024-04-30
472,1012,15,1,2024-12-23
473,115,13,38,2023-09-14
474,975,3,41,2023-10-17
475,1992,3,17,2025-04-22
476,425,16,5,2024-05-12
477,1512,11,46,2025-02-14
478,556,9,36,2025-05-18
479,1347,2,15,2024-09-20
480,222,12,15,2023-07-24
481,892,5,34,2024-01-08
482,1588,15,48,2024-05-01
483,1700,11,20,2024-11-04
484,889,10,44,2024-08-02
485,980,18,29,2024-01-06
486,1496,12,3,2024-08-04
487,1980,2,46,2024-06-05
488,1144,6,46,2024-02-01
489,217,2,28,2024-10-10
490,336,3,43,2024-04-21
491,58,6,24,2023-10-07
492,16,7,50,2025-02-27
493,1288,19,44,2023-07-26
494,1341,11,13,2024-07-28
495,265,14,48,2025-03-15
496,69,1,16,2023-11-22
497,1765,14,17,2024-07-31
498,1156,8,38,2024-05-24
499,489,11,17,2024-05-15
500,189,14,39,2025-04-16
501,290,10,28,2024-04-22
502,478,2,33,2025-05-31
503,135,2,32,2025-03-02
504,243,15,7,2024-02-20
505,675,3,43,2024-09-27
506,630,4,24,2024-02-18
507,1243,5,48,2023-08-31
508,1213,12,43,2024-07-03
509,1770,17,24,2024-10-14
510,1746,20,21,2025-06-27
511,1740,1,32,2025-05-16
512,219,10,45,2025-06-13
513,569,1,40,2025-01-19
514,1298,1,42,2024-05-01
515,1261,15,20,2024-04-10
516,540,9,28,2025-02-21
517,1341,20,35,2023-12-16
518,216,15,50,2023-08-24
519,1230,14,32,2023-11-13
520,656,4,30,2023-10-06
521,391,17,15,2024-06-04
522,429,7,37,2023-12-13
523,1434,8,35,2025-05-05
524,732,6,46,2024-10-10
525,1151,9,16,2023-09-06
526,126,11,31,2025-03-27
527,515,18,15,2024-05-01
528,9,10,46,2024-11-02
529,1642,20,30,2024-05-03
530,1202,17,31,2025-04-07
531,1208,18,19,2023-12-13
532,1493,18,1,2023-09-12
533,1706,17,40,2025-04-19
534,1622,17,18,2024-03-19
535,1210,3,46,2024-06-20
536,835,4,4,2024-04-24
537,644,12,26,2024-09-23
538,1326,10,33,2024-05-25
539,1845,16,34,2024-04-25
540,1909,18,17,2024-09-09
541,762,14,38,2023-07-26
542,425,16,6,2024-07-14
543,1559,6,43,2025-05-14
544,1465,5,10,2024-09-11
545,1435,20,25,2024-06-05
546,829,12,46,2025-01-26
547,35,8,41,2023-09-10
548,597,16,16,2024-06-02
549,1703,1,40,2025-04-10
550,741,12,4,2023-08-18
551,1586,12,49,2024-06-24
552,521,9,10,2024-07-27
553,388,19,41,2024-03-30
554,1845,16,27,2024-01-10
555,1904,7,13,2025-01-07
556,1230,18,29,2023-11-11
557,1613,13,6,2023-07-24
558,1454,20,6,2024-01-17
559,419,12,9,2023-08-19
560,1625,15,19,2025-05-14
561,593,4,39,2024-01-09
562,1869,1,19,2023-09-23
563,18,10,46,2025-07-01
564,736,1,10,2025-04-07
565,302,1,8,2025-05-04
566,348,20,26,2024-04-11
567,251,19,25,2024-07-29
568,1697,15,8,2024-02-09
569,1744,12,25,2023-07-28
570,1017,10,45,2024-03-19
571,1022,9,37,2024-01-01
572,347,2,48,2024-12-27
573,1664,16,3,2024-02-21
574,1263,2,42,2025-03-20
575,1366,8,22,2024-03-29
576,571,12,20,2025-02-09
577,1943,9,50,2025-05-19
578,929,17,26,2023-09-16
579,878,17,13,2023-07-10
580,1607,10,24,2024-11-16
581,1434,6,1,2024-02-03
582,204,12,35,2024-08-21
583,1961,14,31,2024-01-03
584,30,20,5,2023-10-19
585,515,15,22,2025-02-10
586,1050,2,24,2023-11-24
587,346,5,41,2025-02-04
588,1353,8,9,2025-01-18
589,843,9,25,2024-08-09
590,285,15,34,2024-08-13
591,877,16,30,2023-12-02
592,599,18,7,2024-10-09
593,1213,5,40,2023-11-30
594,640,1,29,2023-11-09
595,1816,11,21,2025-06-06
596,522,11,35,2024-11-11
597,892,7,30,2024-08-21
598,1233,14,7,2024-07-11
599,764,15,40,2024-08-30
600,68,16,40,2024-12-11
601,864,13,5,2024-08-10
602,613,11,25,2025-01-05
603,629,4,45,2024-07-25
604,1147,5,32,2024-02-02
605,1737,10,39,2023-10-20
606,189,7,17,2024-10-18
607,525,16,1,2024-07-20
608,1263,1,6,2024-04-28
609,1437,13,10,2023-10-10
610,1760,8,37,2024-08-17
611,1351,1,34,2025-05-27
612,1307,11,22,2024-05-10
613,1676,7,21,2024-09-04
614,1149,19,12,2024-12-30
615,1615,16,43,2024-06-23
616,439,1,28,2023-11-22
617,747,3,44,2024-04-02
618,1372,13,48,2025-04-22
619,208,5,37,2024-12-17
620,1482,18,46,2023-07-22
621,243,3,45,2024-04-16
622,1614,17,31,2023-07-31
623,289,19,47,2024-01-10
624,1269,14,15,2024-08-15
625,1834,18,4,2023-08-26
626,1501,5,4,2024-07-26
627,459,7,17,2024-08-25
628,1657,3,46,2023-09-18
629,140,1,24,2024-06-14
630,1903,13,31,2024-08-08
631,800,2,36,2024-04-06
632,852,8,12,2023-10-10
633,1866,4,8,2024-10-30
634,1728,12,32,2024-05-01
635,132,6,40,2025-02-28
636,367,14,40,2024-11-27
637,1832,20,38,2024-09-02
638,1484,4,23,2025-04-01
639,1475,17,7,2025-04-06
640,1442,3,17,2024-07-19
641,183,16,15,2025-02-05
642,35,19,15,2023-07-31
643,1752,4,26,2023-11-28
644,905,15,30,2023-09-07
645,1773,5,13,2024-07-19
646,866,16,26,2025-04-04
647,827,3,24,2024-12-12
648,943,9,37,2024-09-01
649,1702,10,9,2024-02-01
650,749,18,35,2024-03-01
651,1238,10,36,2025-07-06
652,1032,1,22,2024-10-30
653,787,7,9,2024-09-13
654,1019,7,43,2025-03-23
655,755,20,34,2024-12-28
656,1700,3,2,2024-02-16
657,1571,17,48,2024-06-22
658,351,19,31,2024-07-10
659,127,14,23,2025-05-17
660,418,2,47,2024-09-09
661,1984,2,39,2023-12-08
662,704,6,1,2025-03-13
663,1539,19,10,2024-01-31
664,1485,8,39,2025-02-13
665,804,12,30,2023-08-05
666,288,15,24,2024-08-13
667,1545,15,27,2023-12-09
668,1578,9,25,2025-04-26
669,1245,12,35,2024-03-12
670,1740,1,17,2023-08-14
671,1683,13,15,2024-02-10
672,1334,20,46,2023-10-20
673,1505,10,47,2025-01-12
674,1217,2,47,2023-11-04
675,1640,17,31,2024-12-03
676,328,16,28,2024-08-09
677,48,20,38,2024-02-19
678,1366,19,7,2023-08-24
679,1301,11,34,2025-06-19
680,833,14,39,2025-04-09
681,853,7,15,2023-12-24
682,1803,12,21,2024-11-19
683,1144,9,4,2023-11-02
684,195,4,19,2024-08-20
685,306,19,10,2023-11-14
686,1080,7,5,2024-01-19
687,1660,7,49,2025-03-12
688,660,17,32,2024-04-26
689,1993,19,4,2024-05-09
690,1221,2,47,2024-12-05
691,712,2,8,2025-05-09
692,686,20,44,2024-08-24
693,462,14,24,2024-07-02
694,30,16,29,2024-10-15
695,181,3,49,2025-06-12
696,1711,9,47,2025-07-01
697,1275,9,9,2024-04-02
698,544,7,25,2024-04-17
699,1810,5,44,2023-07-18
700,1536,18,3,2024-02-16
701,583,19,50,2024-11-30
702,469,20,39,2024-11-01
703,1318,17,15,2024-10-18
704,1378,11,25,2025-04-11
705,741,12,4,2025-06-29
706,1670,4,7,2025-02-23
707,716,4,22,2023-12-18
708,39,12,10,2023-12-19
709,693,10,10,2023-09-08
710,1852,9,41,2025-01-15
711,253,8,36,2025-06-21
712,1705,5,12,2023-11-26
713,462,6,29,2023-11-26
714,1408,11,44,2025-07-05
715,1679,19,10,2023-09-14
716,1929,16,12,2025-03-06
717,1454,9,43,2024-02-16
718,823,11,24,2024-07-27
719,1352,4,30,2023-09-14
720,1619,5,9,2024-08-18
721,325,19,16,2025-02-25
722,1565,15,32,2024-05-20
723,1462,7,29,2024-03-27
724,1309,14,25,2023-08-27
725,1748,2,20,2024-02-07
726,125,6,50,2024-09-14
727,839,9,33,2025-06-07
728,1042,19,40,2024-04-27
729,334,18,40,2024-09-09
730,1956,4,26,2023-10-16
731,315,17,41,2024-11-14
732,831,3,24,2023-07-21
733,356,5,19,2025-02-09
734,952,4,32,2023-09-15
735,168,15,43,2023-08-14
736,1289,13,44,2023-12-13
737,548,2,35,2025-03-29
738,809,12,14,2023-09-06
739,1483,5,18,2024-09-27
740,1639,1,41,2023-10-24
741,9,6,48,2024-09-16
742,1971,13,4,2023-10-10
743,949,17,41,2023-11-15
744,233,12,1,2025-06-06
745,1172,1,29,2024-03-14
746,1865,1,10,2024-02-24
747,1129,20,27,2024-06-18
748,85,18,23,2023-11-03
749,1530,13,50,2023-11-15
750,555,16,48,2023-09-21
751,1195,18,32,2024-08-06
752,1364,14,36,2024-08-31
753,55,2,23,2024-09-19
754,1200,20,18,2024-08-02
755,1484,15,46,2024-09-17
756,682,20,20,2024-01-05
757,115,1,23,2024-11-20
758,633,16,40,2025-01-02
759,873,10,43,2023-11-06
760,1650,15,36,2025-03-15
761,1761,16,23,2024-02-12
762,1413,13,42,2024-05-10
763,704,6,46,2025-01-05
764,1304,20,41,2025-04-02
765,185,16,25,2024-09-12
766,371,2,39,2025-02-14
767,1236,17,23,2025-05-17
768,1439,20,28,2024-01-01
769,755,9,36,2025-04-13
770,436,3,19,2025-01-21
771,2000,5,40,2023-12-31
772,192,15,10,2023-11-09
773,419,3,34,2024-02-01
774,1520,12,47,2024-11-12
775,1650,14,42,2025-06-27
776,1888,7,5,2024-12-29
777,1859,15,28,2024-03-10
778,1757,9,1,2023-09-26
779,940,5,30,2025-02-26
780,1545,8,34,2024-05-02
781,1758,11,37,2023-12-03
782,449,8,42,2023-12-20
783,389,3,30,2025-02-26
784,201,15,2,2025-05-17
785,12,3,2,2024-08-13
786,297,13,6,2023-10-01
787,855,20,24,2024-09-29
788,1883,18,16,2024-04-01
789,1986,16,21,2023-07-15
790,18,19,40,2023-10-02
791,546,2,26,2025-04-18
792,1890,3,20,2024-07-06
793,422,2,40,2025-03-14
794,835,4,16,2024-08-27
795,673,1,1,2024-03-03
796,8,18,8,2023-08-21
797,1337,13,22,2023-12-15
798,1361,11,4,2024-05-13
799,539,20,49,2023-11-28
800,1713,9,13,2025-01-02
801,463,7,37,2025-06-12
802,642,8,12,2023-11-23
803,913,14,36,2024-07-28
804,114,14,39,2024-10-05
805,1389,13,28,2024-03-09
806,1577,13,42,2025-05-22
807,1955,2,37,2024-11-22
808,1644,18,37,2025-04-19
809,186,14,34,2024-08-03
810,146,3,15,2024-11-02
811,1216,14,34,2023-10-08
812,77,8,14,2023-12-25
813,1943,17,6,2025-05-15
814,1240,19,30,2025-04-13
815,1434,18,30,2023-07-22
816,940,14,40,2024-09-26
817,175,4,25,2024-02-27
818,642,6,38,2025-05-28
819,1600,6,46,2023-12-22
820,29,7,47,2023-10-01
821,468,19,26,2024-10-11
822,1607,5,29,2024-07-01
823,1294,4,16,2024-08-08
824,275,18,8,2024-01-05
825,1143,5,45,2024-06-24
826,532,20,18,2023-07-11
827,1153,9,42,2024-12-15
828,695,13,32,2025-04-19
829,783,12,12,2025-04-18
830,497,3,1,2023-11-08
831,897,12,46,2024-04-17
832,738,9,50,2025-02-06
833,1989,17,20,2024-06-08
834,1238,7,29,2024-11-14
835,236,2,23,2025-04-15
836,1510,2,21,2024-04-20
837,905,8,14,2024-05-07
838,505,20,27,2025-01-26
839,210,8,1,2025-06-27
840,330,12,46,2025-03-20
841,393,11,47,2024-03-12
842,1132,9,18,2023-08-08
843,79,19,16,2024-09-06
844,283,15,41,2024-12-31
845,1880,16,19,2025-03-12
846,822,6,26,2024-07-14
847,550,20,46,2024-09-08
848,1345,8,20,2025-03-25
849,1438,1,16,2023-10-14
850,712,3,37,2024-08-24
851,1330,14,31,2025-04-10
852,876,8,22,2025-01-29
853,458,11,4,2025-06-12
854,956,5,46,2024-06-24
855,967,20,39,2024-07-21
856,699,9,47,2024-06-12
857,1985,17,11,2023-09-15
858,147,4,28,2023-09-10
859,415,10,29,2024-03-19
860,1598,1,37,2024-03-16
861,1530,17,48,2025-02-15
862,262,7,29,2025-05-17
863,810,16,2,2025-04-06
864,361,4,14,2024-12-20
865,437,14,36,2025-06-28
866,1476,15,45,2024-08-02
867,1150,2,36,2025-04-23
868,1549,7,37,2024-08-10
869,427,2,19,2023-07-21
870,954,1,29,2024-07-15
871,1494,15,3,2025-02-25
872,1801,16,5,2025-03-01
873,1406,20,35,2024-11-29
874,1498,3,14,2024-02-06
875,1420,17,9,2024-04-12
876,748,16,23,2024-06-05
877,631,6,36,2023-11-17
878,5,12,41,2024-07-20
879,1486,10,15,2024-12-15
880,1719,15,27,2024-04-19
881,1520,9,13,2024-06-13
882,113,15,26,2024-03-22
883,631,13,49,2024-04-26
884,1437,16,35,2023-09-27
885,328,16,4,2024-08-18
886,1192,11,14,2025-05-17
887,1982,4,23,2024-04-24
888,1776,17,28,2023-10-18
889,28,15,25,2024-10-22
890,1404,3,22,2023-07-31
891,627,3,45,2023-10-23
892,437,18,43,2023-12-01
893,1100,12,8,2025-03-04
894,1486,12,45,2024-03-03
895,1937,19,34,2024-06-11
896,1910,12,1,2023-11-25
897,1333,11,44,2024-08-09
898,1340,6,6,2023-11-23
899,1454,5,44,2024-06-19
900,946,8,7,2025-02-20
